timestep,a_x,a_y,a_z,a_mag,g_x,g_y,g_z,g_mag
76,-12162,1318,-190,12234.6829954846,-1946,4582,943,5066.644747759606
77,-10966,1620,476,11095.230146328646,-2264,5491,851,6000.081499446485
78,12538,28,16240,20516.818174366123,-1987,7631,-711,7917.43967454126
79,32767,8396,32767,47094.0059243212,-2465,5685,-179,6198.991127594877
80,18014,-808,-14616,23211.732292097462,-2448,8730,-959,9117.306894034004
81,-11800,-9408,2982,15383.198237037705,-2754,11789,-985,12146.409428304316
82,-7302,-11812,17206,22110.834086483486,-1687,12099,-169,12217.214535236746
83,-3676,-9102,5030,11029.971894796467,1743,12640,-190,12761.02460619836
84,-11142,1272,17306,20621.827853029907,3666,12372,-135,12904.424241321267
85,-12862,12502,27418,32763.97063849252,3308,11490,-153,11957.690956033277
86,-32768,20962,12424,40835.07125009089,-2559,8804,-1340,9265.770178457913
87,-9106,-16520,16056,24771.45074475857,-2922,1447,-874,3375.761988055437
88,-1228,-1430,7008,7257.061939931338,-1060,952,-857,1662.6343554732655
89,-8824,4738,6706,12053.300626799284,-1388,1142,-518,1870.5699666144546
90,-4706,-812,10198,11260.771909598383,-1430,852,-752,1826.5563227012735
91,-4902,3878,5884,8584.284711028637,-1224,448,-789,1523.614452543687
92,-4756,794,8074,9404.225007941908,-1273,-145,-649,1436.2294384951174
93,-4380,632,8156,9279.232726901508,-971,-110,-628,1161.6044937929605
94,-3210,24,6796,7516.002394890517,-745,-70,-452,874.2019217549228
95,-3060,-68,7594,8187.616258716574,-441,142,-308,556.3353305336631
96,-3982,42,7496,8488.115456330692,-260,323,-212,465.69625293747004
97,-3556,-180,7134,7973.173270411223,-71,327,-18,335.10296924975165
98,-3064,138,7470,8075.149534219165,61,438,54,445.5120649320285
99,-2294,420,7090,7463.707925689482,179,667,134,703.4813430361888
100,-4306,376,8918,9910.284355153488,577,1174,356,1355.7068267143895
101,-3596,1628,5218,6542.868178406165,209,683,208,743.9314484547618
102,-3684,946,6642,7653.949046080721,282,733,160,801.506706147865
103,-3838,1118,7092,8141.046124424059,264,802,56,846.1891041605298
104,-3454,1000,7302,8139.368525874719,155,720,-113,745.1134141860553
105,-3618,1004,7166,8090.086278897154,169,886,-232,931.3329157717984
106,-3976,584,7200,8245.582574930651,174,1021,-276,1071.864263794628
107,-4126,588,7002,8148.473722115081,165,1000,-241,1041.780207145442
108,-3954,440,7056,8100.299500635763,169,1031,-164,1057.5528355595288
109,-4302,512,7128,8341.326752981207,252,1099,-127,1134.6514883434472
110,-4456,896,7108,8436.967227623916,416,1245,-108,1317.0971869987422
111,-4262,892,6788,8064.567688351311,355,1230,-178,1292.5204060284696
112,-3578,74,6436,7364.078761121447,352,1261,-103,1313.2532124460995
113,-3688,958,7094,8052.573750050353,377,1399,-255,1471.1747007068875
114,-4394,-766,2194,4970.676815082629,181,2031,-484,2095.7046547641203
115,-3976,444,7042,8099.103407167981,282,1857,-389,1918.1485865281657
116,-4392,270,5692,7194.541542030319,240,1497,-227,1533.0159816518549
117,-4112,510,6984,8120.646525985479,327,1546,-97,1583.1784485647852
118,-4300,758,7002,8251.822101814847,337,1686,-42,1719.8630759452915
119,-4622,690,6226,7784.7324937983585,325,1791,-24,1820.4070973274083
120,-4674,928,6552,8101.614900746641,254,1679,-52,1698.8999381953015
121,-4460,686,7028,8351.944683724863,307,1807,13,1832.9394425348594
122,-5786,1120,5230,7879.409622554217,180,2276,117,2286.1025786259024
123,-5854,494,6008,8402.940913751565,233,1861,57,1876.395214233931
124,-4502,958,6280,7786.152323195329,87,1659,-36,1661.6696422574496
125,-4784,882,6346,7996.017508735207,52,1788,-94,1791.2241624096075
126,-5486,1098,5764,8032.776356901765,131,1719,-57,1724.9263752404045
127,-5062,1120,5506,7562.689997613283,83,1227,-313,1269.0102442454906
128,-4440,996,6716,8112.353049516521,220,2257,-245,2280.893246077072
129,-6188,1188,5366,8276.269932765605,571,2946,-476,3038.34379226578
130,-4628,418,7514,8834.778095685258,196,3203,-268,3220.162884079003
131,-4272,348,7856,8949.180074174394,431,4074,-126,4098.672102035
132,-5132,702,6856,8592.727390066555,195,4749,0,4753.001788343867
133,-6982,1262,6320,9501.756048226032,148,5273,21,5275.118387297104
134,-6660,1154,6120,9118.207937966758,103,6000,-219,6004.878849735438
135,-4804,518,7902,9262.19973872298,289,6586,-450,6607.678639280212
136,-5692,1718,7832,9833.1384613459,669,7650,-723,7713.156941227115
137,-4870,324,6032,7759.310536381438,475,8281,-957,8349.636818449051
138,-6718,1376,7728,10331.838364976487,55,9270,-895,9313.267418044004
139,-4034,-326,8702,9597.095185523587,140,11067,-736,11092.330007712537
140,-8948,2044,8518,12522.0191662527,476,12407,-494,12425.951110478423
141,-3146,1400,5166,6208.451658827666,771,15296,-847,15338.822184248698
142,-9072,798,6144,10985.750952938994,3188,16955,172,17252.969396599532
143,-14290,1746,7808,16377.34654942613,5038,16540,1110,17325.851898247314
144,-14848,1288,9802,17838.196433496298,6845,15820,1460,17299.075842367994
145,-18566,4030,15466,24497.64094765045,9136,14973,1672,17619.671080925433
146,-17280,2282,10612,20406.383021005957,10291,12988,891,16594.77948030645
147,-16670,5438,14408,22694.73965481869,9564,10222,694,14015.74172136459
148,-10284,13664,12014,20899.802582799675,8798,7216,-271,11381.955060533315
149,-3194,16138,31324,35381.20484098867,7978,3072,-1788,8733.991756350586
150,-15932,16718,32382,39773.28339476136,1963,-547,-3107,3715.646242580152
151,-5108,10160,24946,27415.69222179152,121,-3453,-2798,4445.970535215005
152,2508,5566,13722,15018.778379082634,-1678,-6588,-2495,7241.7161640042195
153,3028,5056,10832,12331.429114259223,-2159,-6834,-2408,7560.641573305799
154,312,3334,8108,8772.261054027063,-1486,-6961,-2400,7511.57220560383
155,382,3448,7992,8712.44466266501,-1140,-7229,-2138,7624.243241135478
156,-984,4140,8380,9398.524139459345,-1145,-7957,-1835,8245.732168825276
157,-2158,4462,7964,9380.389330939308,-1327,-8433,-1754,8715.098048788665
158,-3140,4394,7424,9180.556192301203,-1751,-8987,-1698,9312.10899850297
159,-3516,3896,7150,8869.248671674506,-1979,-9374,-1641,9720.143928975538
160,-3440,3634,6058,7857.411787605381,-1988,-9744,-1454,10050.46247692115
161,-3860,3948,6396,8449.563302325156,-1784,-10016,-1354,10263.343899529042
162,-3636,3010,5904,7558.955747985299,-943,-9668,-1149,9781.598744581584
163,-3996,2464,4238,6324.5518418303745,-356,-9602,-815,9643.099346164592
164,-5524,3340,6236,8975.403723510157,674,-9418,-256,9445.556415585057
165,-7102,4040,7062,10799.622585998086,1152,-9503,269,9576.34972210184
166,-7568,4610,7632,11695.048011872375,1405,-9844,1101,10004.527075279471
167,-8130,4528,7592,12009.91873411307,1343,-9982,1649,10206.036155138781
168,-8624,3922,7248,11928.493785889317,1352,-10149,2502,10539.929269212387
169,-8890,3486,7372,12063.60974169838,1362,-10188,3050,10721.60846142033
170,-9922,3396,7050,12636.510594305691,1527,-9964,3796,10771.380645024108
171,-9212,2230,8444,12693.89538321472,1397,-9865,4280,10843.810861500677
172,-10502,1622,8430,13564.209818489244,1486,-9879,4649,11018.894590656542
173,-10506,1830,9320,14162.885864116819,1378,-9946,4711,11091.227208925078
174,-10502,1646,9400,14190.183931154663,1043,-9868,4630,10949.98506848297
175,-10504,1226,9198,14015.71603593623,888,-9731,4485,10751.564072264091
176,-10306,1130,9120,13808.147449965909,829,-9358,4235,10305.077874523802
177,-10268,1054,9074,13743.369892424493,873,-9024,3975,9899.259063182457
178,-10418,1354,9326,14047.858057369458,957,-8478,3545,9239.012826054524
179,-11864,1806,10606,16015.722525068919,1018,-8232,3257,8911.239924948715
180,-13016,1840,11872,17712.883446802218,1284,-8204,2927,8804.635199711569
181,-13748,3042,13594,19571.870222336955,1405,-8460,2703,8991.764787848935
182,-14768,3336,13920,20566.699297651045,1547,-8992,2344,9420.382635540871
183,-14018,2966,12320,18896.66319750659,1699,-9395,2170,9790.889949335555
184,-13742,244,9380,16639.906850700816,2628,-9619,2375,10250.471696463534
185,-13236,-476,5046,14173.227861006115,3514,-9273,2497,10226.032172842017
186,-14832,-798,3570,15276.450111200571,4319,-8379,2499,9752.251176010595
187,-17910,-1668,636,17998.744956246253,4519,-7978,2409,9480.143775281049
188,-18480,-3130,-3564,19079.030268858,4522,-7646,2348,9188.193728911032
189,-18706,-4534,-10624,21985.016897878428,4214,-6195,2273,7829.581725737334
190,-18686,-4630,-13166,23322.672488374912,3436,-4506,1986,6004.525626558688
191,-18608,-2576,-13352,23047.111402516366,1047,-1406,1012,2024.151427141754
192,-17918,-2312,-11026,21165.366616243624,-1261,705,-5,1444.7044680487425
193,-19840,-2744,-6340,21008.349197402447,-4136,2949,-1232,5226.941840120282
194,-17966,-3356,-2844,18496.708572067626,-5103,3759,-1874,6609.2787806234965
195,-15208,-3082,-1992,15644.489509089135,-4935,4582,-1681,6940.800386122626
196,-13214,-1842,-940,13374.840559797341,-4528,5301,-1282,7088.505413696175
197,-12638,-532,1294,12715.207587766705,-4312,6570,-636,7884.33510196009
198,12232,-4220,10404,16603.416515886118,-4118,7615,-170,8658.813371357533
199,6560,4616,10276,13035.997545259053,-3756,8555,-794,9376.886316896456
200,15100,-4424,-7434,17402.47488146442,-4110,12915,-2521,13785.672489944043
201,-16948,-7804,13618,23099.503111538997,2618,15502,-193,15722.696238241071
202,-21746,-2410,32226,38951.40166925961,1599,13339,-252,13436.860719677048
203,-26626,18888,32767,46253.396729321394,-1096,10258,-842,10350.688093068982
204,-32768,12178,10060,36376.49114469399,-4672,6750,-1923,8431.370766370079
205,-246,-19316,18036,26428.50105473256,-2417,5230,-3032,6510.592369362407
206,-650,-10848,5808,12322.112968156069,-1579,2487,-1302,3220.80952556962
207,-10254,8788,8368,15887.003619310974,-2405,2494,-1021,3611.994186041833
208,-6588,360,7498,9987.559661899395,-2195,914,-1315,2717.102500826938
209,-5914,458,7048,9211.91966964541,-1838,293,-1150,2187.8283753530577
210,-5188,134,8082,9604.791720802696,-1027,-141,-652,1224.6281068144729
211,-4188,1366,7352,8570.717822913084,-942,-228,-629,1155.417240653782
212,-3494,732,7126,7970.17791520365,-791,-216,-590,1010.1668179068248
213,-3908,564,7640,8600.00930232055,-600,-156,-505,799.6005252624587
214,-3826,318,7504,8429.081563254682,-562,-177,-491,766.9771834937465
215,-3086,164,7460,8074.768851180819,-517,-40,-422,668.5603936818272
216,-4390,1098,7332,8616.027390857109,-645,68,-484,809.2620094876567
217,-2584,410,7410,7858.323994338742,-425,97,-274,514.8883374091902
218,-3210,662,7632,8306.007946059286,-405,523,-203,691.9270192729866
219,-3590,542,7534,8363.1943657911,-353,594,-142,705.4140628028335
220,-3638,708,7592,8448.359130624123,-328,667,-105,750.6650384825444
221,-3468,678,7190,8011.417352753507,-215,738,-109,776.3697572677595
222,-3698,1286,7232,8223.796203700576,-100,702,-178,731.0868621443009
223,-3736,1330,7166,8190.125273767185,-24,546,-353,650.615862087607
224,-3366,80,7586,8299.623605923343,56,424,-431,607.1844859678152
225,-3518,462,7042,7885.399926446344,90,428,-410,599.4864468859993
