timestep,a_x,a_y,a_z,a_mag,g_x,g_y,g_z,g_mag
121,-4480,1254,6214,7762.519694016884,58,1074,-258,1106.0759467595342
122,-4750,1276,5936,7708.876182687071,5,1098,-374,1159.9590510013707
123,-4966,640,6290,8039.580586075371,15,1028,-558,1169.7747646448868
124,-5456,918,5824,8033.034046983741,-76,889,-591,1070.2233411769714
125,-5078,946,6046,7952.051056174124,-159,694,-625,947.3869325676812
126,-4782,1530,6592,8286.30725956985,-236,658,-667,966.2033947363257
127,-4360,694,6692,8017.1129466909715,-241,830,-780,1164.2083146928646
128,-4704,520,6540,8072.7700326467875,-286,796,-890,1227.807802548917
129,-4752,1160,6816,8389.574482654052,-218,974,-965,1388.3173268385003
130,-4632,1028,6908,8380.493541552309,-163,943,-712,1192.7958752443774
131,-4752,458,6438,8014.930567384848,-39,1245,-602,1383.455817870596
132,-5182,154,6352,8199.069703326104,-89,1540,-469,1612.2909166772602
133,-4770,490,6572,8135.366248670062,-123,1856,-323,1887.9073070466143
134,-5266,656,5996,8007.066129363488,-158,2213,-232,2230.7301495250385
135,-5186,836,6616,8447.777695938737,-63,2855,-212,2863.5533869652227
136,-5380,1132,6584,8577.580078320458,56,3476,-336,3492.650569410001
137,-4668,-72,7602,8921.088050232438,110,4749,-278,4758.4015173165035
138,-5182,398,7034,8745.78092568068,10,5575,-259,5581.021949428258
139,-4880,622,7332,8829.468160653845,-284,6894,-209,6903.011878883014
140,-3810,692,7242,8212.279099007777,-417,7801,-423,7823.580957592246
141,-4266,746,7802,8923.36685337995,-528,9141,-630,9177.88456018052
142,-7004,1816,7928,10733.454988958587,-595,9786,-787,9835.608267921209
143,-7494,920,7116,10375.15744458849,-596,11424,-1194,11501.679355641942
144,-5556,564,8060,9805.653063411944,-272,12259,-1071,12308.700418809452
145,-8026,516,7736,11159.239579828009,172,13877,-662,13893.846011814008
146,-10816,-344,4982,11913.207628510469,918,16802,-951,16853.911385788168
147,-17568,3414,10008,20504.87951683696,2269,17077,-271,17229.211560602533
148,-17080,2660,10972,20474.05147986104,4602,16790,-723,17424.271376444984
149,-13620,2338,12276,18484.33985837741,5369,15845,-698,16744.47341662317
150,-15504,3958,12000,20000.994475275475,6523,14009,-2311,15625.05459190463
151,-12182,3188,19398,23126.75662517336,7015,12066,-3298,14341.387136535992
152,-12602,626,15648,20101.298067537828,6758,10464,-2910,12791.94903054261
153,-3394,1674,17762,18160.676088736345,5422,7597,-4242,10252.173281797375
154,-32768,16638,23064,43387.9356964583,3147,4386,-3299,6326.452876612612
155,-15892,17808,32767,40538.33762008502,3368,1443,-3024,4750.815614186684
156,-2154,9858,23898,25940.97692840422,314,-4844,-2637,5524.19233915692
157,1086,7658,16892,18578.59047398376,-843,-7328,-2170,7688.896734902869
158,2924,4040,10668,11776.145379537398,-1471,-7978,-2016,8359.221315409708
159,2036,3786,10012,10895.835718291644,-1215,-7763,-1946,8094.894069720741
160,-1140,3684,10002,10719.676301082976,-441,-8347,-1504,8492.873836340677
161,-3276,3960,10498,11688.531986524229,-112,-9302,-1092,9366.54749627631
162,-3642,4288,9228,10807.732972274991,262,-10731,-473,10744.614185721142
163,-3154,4274,7348,9066.857007805958,282,-11335,-169,11339.766752451304
164,-2928,3340,4904,6616.494540162486,345,-11474,98,11479.60386947215
165,-3202,2662,3886,5695.616208980377,539,-11238,230,11253.26908058276
166,-5846,1986,5706,8407.041572396321,1091,-10585,320,10645.886811346436
167,-6038,1450,5718,8441.2953982194,1752,-10789,597,10946.61746842375
168,-7306,1646,6698,10047.395483407628,2567,-10656,803,10990.206276499091
169,-7324,1952,6712,10124.338200593656,3039,-10761,1073,11233.252912669597
170,-7810,2074,7472,11005.832998914711,3413,-10679,1639,11330.310278187442
171,-8282,2114,7690,11497.678896194655,3479,-10577,2064,11324.154096443584
172,-9622,1688,8588,13007.150802539349,3427,-10488,2742,11369.302397244961
173,-10194,1492,8820,13562.304376469361,3225,-10427,3210,11376.601162034292
174,-10174,638,9402,13867.76564555372,2956,-10415,3906,11509.430785229995
175,-10208,616,8954,13592.528683067032,2706,-10307,4324,11500.159172811476
176,-9764,-60,9522,13638.466922642005,2329,-10186,4929,11553.089543494416
177,-9334,-624,9906,13625.041944889563,2040,-9867,5172,11325.584885558892
178,-9786,-1144,10646,14505.57989188988,1891,-9662,5186,11127.655683026864
179,-10370,-1172,11866,15802.292238786118,1800,-9500,5082,10923.219488777107
180,-12390,-1054,13382,18267.48313260477,1706,-9515,4714,10754.880613005429
181,-13160,-686,14042,19257.049618256686,1643,-9729,4387,10798.085895194574
182,-13832,358,14588,20106.27096206554,1486,-10135,3838,10938.768897823922
183,-15004,1136,14350,20792.61917123478,1362,-10323,3433,10963.797790911689
184,-17304,1248,13414,21929.918285301475,1347,-10594,3018,11097.54788230265
185,-18034,1420,12078,21751.31352355531,1649,-10655,2899,11164.785130041688
186,-18442,294,6418,19529.068692592587,2618,-10388,2900,11098.399344049576
187,-18414,-878,2612,18619.044658628434,4098,-9151,3263,10544.267352452704
188,-18730,-2910,-1216,18993.67410481711,5024,-7959,3759,10134.906906331209
189,-20358,-6134,-2642,21425.552128241645,5847,-6722,4359,9918.345325708315
190,-25392,-5212,-7230,26910.80652823322,6275,-5578,5064,9804.78480131002
191,-24976,-4580,-12028,28097.14860977889,5100,-4654,4761,8386.70596837638
192,-22422,-5464,-15406,27747.904713689644,1835,-2075,3141,4187.926814069224
193,-20786,-5386,-13478,25351.987614386373,-367,84,1659,1701.1837055415267
194,-20192,-4404,-6226,21584.141307914007,-2812,2598,-508,3861.995857066654
195,-19054,-4546,-622,19598.67128149253,-3327,3295,-1441,4899.22800040986
196,-16068,-864,3070,16381.4535374612,-3089,3346,-1789,4892.66369169188
197,13074,-456,-12810,18309.383168200944,-2663,6172,-2837,7296.144324230436
198,-6914,7920,2688,10851.504043219078,-4365,7640,-3824,9594.050291717258
199,7292,6606,14182,17260.98560337735,-5131,7854,-4845,10558.7168728023
200,322,-8738,2202,9016.935843178657,-3329,10646,-2510,11433.269742291572
201,-16964,-9064,18188,26471.43245085161,-1726,11274,-1787,11544.501764909563
202,-16210,-6980,21696,27967.85504825137,-831,9990,-1389,10120.27578675601
203,-13520,3274,10822,17624.561271135233,-503,9199,-1335,9308.965302330866
204,-9698,8054,11164,16839.032513775845,-894,7825,-464,7889.5600004056005
205,-6998,1644,9426,11854.291037426066,-729,8476,-1304,8606.65050992545
206,-13548,32,8114,15791.970238067192,-2279,5381,-637,5878.3306303745785
207,-8734,-472,10720,13835.604070657702,-2125,4537,-801,5073.617545696561
208,-8874,390,9858,13269.519207567393,-1846,3444,-1123,4065.707933435455
209,-6850,300,6844,9687.767338246724,-2055,2723,-1043,3567.296315138399
210,-6044,-1344,8220,10290.999562724699,-1723,2086,-1123,2929.3777496253365
211,-5028,2006,8132,9769.045193876422,-1615,1433,-996,2377.757346745037
212,-4214,808,6938,8157.604060016642,-1713,1000,-1141,2288.285384299782
213,-3626,-440,7826,8636.420091681506,-1547,864,-1148,2111.305046647689
214,-4228,1178,7420,8620.908768801579,-1508,625,-1058,1945.264249401608
215,-3572,60,7570,8370.644180706764,-1344,511,-987,1744.0258025614185
216,-4300,28,7410,8567.31486523053,-920,441,-750,1266.2468163829672
217,-3578,302,7142,7993.83837715024,-602,583,-516,984.1488708523726
218,-4556,796,7406,8731.528388546876,-530,601,-358,877.6474235135656
219,-4102,576,7308,8400.30023272978,-494,744,-283,936.8356312608952
220,-4528,796,7282,8611.847885326355,-475,895,-189,1030.7138303137297
221,-4232,1144,7374,8578.719951134899,-393,856,-197,962.2858203257492
222,-3912,1352,7146,8258.145312356764,-335,931,-333,1043.9707850318418
223,-4136,954,6990,8177.818290962448,-235,1032,-414,1136.5056093130381
224,-4814,-38,7190,8652.868888409208,-87,1017,-412,1100.7279409554387
225,-4612,260,7028,8410.168131494163,43,888,-333,949.358730933676
226,-4188,156,6970,8132.9318206904945,102,908,-204,936.2072420142882
227,-4184,334,7016,8175.675384945271,149,934,-90,950.0826279855874
228,-4260,584,6882,8114.837028554548,119,1008,-65,1017.0791512955124
229,-4284,560,6840,8090.23213511207,136,1069,-63,1079.4563446476193
230,-4472,458,6742,8103.277855287945,163,1075,-71,1089.6031387619992
231,-4454,526,6548,7936.693014095984,174,1049,-53,1064.6529951115526
232,-4198,810,6700,7947.911927040965,154,984,-154,1007.8134748057303
233,-4336,772,6530,7876.40654105665,159,981,-240,1022.3707742301714
234,-5014,1704,6394,8302.231507251528,142,919,-274,969.4333396371304
235,-4576,798,6356,7872.440282402909,184,848,-394,952.9931794089607
236,-4562,572,6542,7996.048524114895,174,655,-477,828.7520739038907
237,-4472,446,6596,7981.535942411085,147,600,-471,776.8204425734432
238,-4542,58,6466,7902.0430269646085,182,620,-410,765.2607398788989
239,-4280,128,7046,8245.053062291352,181,615,-355,732.810343813459
240,-4260,266,6574,7838.101300697765,164,779,-264,838.7091271710353
241,-4414,564,6458,7842.6561826972875,169,904,-238,949.9584201426924
242,-4478,688,6488,7913.278208176432,181,1207,-198,1236.4521826581085
243,-4294,472,6720,7988.718295196045,154,1396,-197,1418.2175432563226
244,-4186,726,6710,7941.899772724408,108,1822,-199,1836.0144334944648
245,-4174,390,7210,8340.17242028005,203,2114,-169,2130.4379831386786
246,-4680,618,6848,8317.417147167744,265,2754,-188,2773.100250622036
247,-4596,428,6650,8094.992279180999,308,3421,-234,3442.7984256996515
248,-4884,722,6544,8197.479856638869,251,3932,-199,3945.025475202917
249,-5764,864,6328,8603.125943516112,415,4143,-169,4167.161503949661
250,-5766,594,6748,8895.790914809093,431,4598,-29,4618.2470700472495
251,-6304,512,6710,9220.99018544104,230,5200,-61,5205.441479836269
252,-5588,-492,7824,9627.189828812974,-352,6073,17,6083.216418967847
253,-4340,228,7822,8948.255025422555,-615,6686,41,6714.35045257544
254,-5392,786,7448,9228.443205655003,-690,8501,184,8530.941155581839
255,-6602,1056,6690,9458.204903680191,-965,9437,-9,9486.214998617732
256,-6650,1464,7012,9774.14651005396,-1266,11130,-231,11204.151775123362
257,-5712,1906,6672,8987.511557711623,-1163,12360,-372,12420.167188890815
258,-7638,3182,6502,10523.315637193442,-413,13955,-886,13989.19547365037
259,-5822,850,3844,7028.123504890905,-68,13644,-771,13665.935789399859
260,-11482,2422,6940,13633.26842690336,1611,17268,-1171,17382.47352939161
261,-13418,3584,7930,15992.894672322456,2674,17254,-1008,17489.049602537012
262,-19116,1934,12958,23174.804767246693,3753,17019,-2001,17542.387836323764
263,-14416,4146,10650,18396.545110427665,5387,15964,-2290,17003.32805658939
264,-18908,8742,17642,27297.897208393173,7868,13789,-2304,16042.143279499784
265,-32768,-1516,9758,34223.65620444432,7856,11449,-3780,14390.439082946705
266,3410,-948,20222,20529.395704696228,4500,9684,-5824,12163.4218869527
267,-9160,10158,25558,28987.961777261957,2567,6646,-5900,9250.340804532556
268,-20780,15154,32767,41654.87252411175,2860,6589,-4269,8355.76938408427
269,-5834,14796,32767,36422.979847892726,2482,1292,-3059,4145.7290070625695
270,-4252,9622,20996,23483.917986571152,-539,-3179,-2314,3968.7728582018894
271,-916,7214,15628,17237.03095083373,-1126,-6033,-1634,6350.97795618911
272,1234,4730,10402,11493.357211885479,-1461,-6736,-984,6962.504793535154
273,1048,3562,8032,8848.681935746137,-1030,-6961,-567,7059.597013994496
274,-244,2834,7850,8349.466569787557,-214,-7460,175,7465.120293739412
275,-1332,3142,7768,8484.586731243897,193,-8077,606,8102.000617131549
276,-2180,3644,7380,8514.431043822013,325,-8920,833,8964.70378763292
277,-2854,3538,6830,8204.368348629892,195,-9459,891,9502.872565703488
278,-3786,3236,6784,8415.946054960192,-66,-10071,865,10108.294712759418
279,-4892,2894,6562,8681.402190890594,-103,-10614,907,10653.180464067995
280,-7758,3592,7066,11091.320209965992,-236,-11014,888,11052.259316537951
281,-7346,2178,6758,10216.55343058509,397,-11158,1081,11217.269453837684
282,-6848,2038,5030,8737.817118708768,801,-11833,1314,11932.647903964988
283,-6516,2700,6176,9375.032373277438,1080,-11720,1458,11859.61904953106
284,-7338,2798,5166,9400.138509617824,1533,-11640,1765,11872.443472175391
285,-7208,2760,5484,9468.216305091471,1827,-11401,2055,11727.904970624551
286,-8338,2464,5990,10558.107785015269,2311,-10959,2608,11499.655038304409
287,-9444,2540,7284,12194.154009196374,2516,-10768,3091,11481.914518058391
288,-10834,2604,8370,13936.042192817871,2791,-10719,3815,11714.984720433911
289,-11218,2980,9018,14698.579795340771,2797,-10747,4292,11905.56516928113
290,-11042,3782,9574,15096.051271773025,2390,-10741,4947,12064.575831748083
291,-11484,3112,10800,16068.814517567871,2001,-10490,5310,11926.449639352022
292,-12336,1850,11670,17081.81184769344,1573,-10522,5850,12141.223702741003
293,-13066,1478,13052,18527.26488178976,1463,-10502,6066,12215.921127774196
294,-14124,1008,14214,20063.43031487886,1410,-10654,6220,12417.093701828942
295,-15046,618,15186,21386.412415363167,1500,-10722,6209,12480.5033952962
296,-16884,704,16400,23548.356036037843,1699,-11021,5946,12637.40313513817
297,-20008,1836,17662,26751.39630000647,1617,-11353,5450,12696.76328833455
298,-22002,2622,16072,27372.834562755826,1187,-11961,4336,12777.925731510571
299,-22474,1820,11408,25269.260772725425,1059,-12142,3576,12701.866831296888
300,-22500,278,7268,23646.376212857653,1995,-11692,2710,12166.634251098369
301,-23062,-4142,-150,23431.485398924244,3505,-10891,2540,11719.663220417217
302,-24014,-9286,-4818,26193.799189884616,7161,-9431,3494,12346.3240683209
303,-29224,-11260,-13132,33959.964664292565,9465,-8659,4474,13586.065729268352
304,-30068,-7496,-17974,35823.72560189685,8922,-6885,4683,12203.925515996892
305,-26202,-4824,-20612,33684.86787861873,5818,-4548,3502,8172.969594951396
306,-22108,-3296,-19094,29397.41682529266,-829,-32,554,997.587590139332
307,-18936,-3936,-12442,22997.120602371073,-4724,2753,-1612,5700.32709587792
308,-19816,-4816,-2008,20491.456170804457,-6956,5148,-3448,9315.392852692794
309,-20438,-5626,3958,21564.54228589144,-6044,5219,-3604,8761.090856736962
310,-19374,-5452,5888,20970.09117767493,-3101,4106,-2579,5755.577990089268
311,-13182,-646,7476,15168.157963312486,-1192,2979,-1523,3551.736758263484
312,20188,20096,32767,43417.51776644999,-3149,4261,-476,5319.670854479626
313,16226,8220,-4992,18861.907114605357,-3508,7385,-2687,8606.059376973877
314,13716,-8270,-380,16020.797608109277,-4358,11183,-3121,12401.302109052904
315,-15826,-10564,16630,25270.87794280207,-908,12238,-1057,12317.075829920022
316,-23056,-8238,24248,34458.80560901669,-611,10848,-224,10867.502058890994
317,-6832,1482,13650,15336.070161550513,-606,9793,-1433,9915.82442361703
318,-12694,8666,11448,19164.91314877268,-1028,9000,-863,9099.53586728466
319,-32768,7634,-82,33645.601555032415,-4360,7911,115,9033.64522216807
320,-11564,-10176,11362,19140.849406439618,-3036,4320,-1600,5517.218139606227
321,-8604,-3720,8760,12829.84084078988,-1853,3651,-1182,4261.517804726386
322,-8562,4910,9138,13450.612922837383,-2266,2286,-1222,3442.9400227131464
323,-6270,-1106,10626,12387.413450757185,-2098,1472,-1520,2979.7295179260823
324,-7704,630,7068,10474.022150062508,-1728,852,-1160,2248.885946418804
325,-6236,746,7624,9877.731925902828,-1466,549,-977,1845.2875114734832
326,-4752,1084,8150,9496.265581795826,-1049,228,-715,1289.8100635364885
327,-4068,778,7464,8536.11176121775,-883,173,-622,1093.847338525811
328,-3566,430,7394,8220.248901341127,-645,236,-536,871.2158171199602
329,-3902,514,7116,8131.8666983663725,-488,309,-408,707.1697108898261
330,-3478,1116,7180,8055.7023281648135,-423,447,-335,700.687519512086
331,-3470,492,7368,8159.067838913953,-333,569,-277,715.1076841986808
332,-4020,-248,7480,8495.42841768442,-180,772,-18,792.9110921156292
333,-3620,2182,8192,9218.155346922724,-181,953,93,974.483966004572
334,-3858,1094,7122,8173.364301192013,-253,1130,-36,1158.5357137352305
335,-4138,1404,7100,8336.921494172773,-264,1129,-164,1170.9965841111575
336,-4384,1134,7148,8461.637902912178,-195,1179,-282,1227.8395660671633
337,-3860,1166,7124,8185.9960908859475,-128,1220,-326,1269.275383831263
338,-4166,792,7106,8275.146886913852,-5,1369,-378,1420.2358958989873
339,-4066,16,6832,7950.398480579448,149,1412,-303,1451.810593707044
340,-4276,488,7480,8629.757818154574,126,1547,-258,1573.4195244752746
341,-4460,472,6962,8281.535364894604,200,1568,-210,1594.592110854685
342,-4726,326,6652,8166.422472539613,240,1535,-132,1559.2462922835507
343,-4540,590,6714,8126.345796235844,251,1568,-116,1592.1937696147413
344,-4396,1202,6604,8023.866648941767,252,1556,-150,1583.3950865150491
345,-4304,878,6870,8154.274952440591,295,1546,-246,1593.0025109835829
346,-4622,1054,6422,7982.222998638914,275,1444,-404,1524.4595763745265
347,-4924,912,6472,8183.1720011252355,300,1362,-467,1470.7593276943717
348,-4848,1204,6318,8054.181770980835,303,1300,-537,1438.8113149402186
349,-4660,640,6218,7796.712384075739,311,1314,-540,1454.2754209571174
350,-4804,454,6436,8044.043013311155,275,1298,-532,1429.4939664090923
351,-4958,228,6460,8146.492987783148,288,1104,-409,1212.0400158410612
352,-4800,390,6512,8099.27428847795,192,1101,-288,1154.1269427580314
353,-4554,668,6632,8072.704875071304,189,1266,-281,1310.510587519231
354,-4710,810,6400,7987.502738653678,190,1480,-295,1521.0276131615756
355,-4616,524,6592,8064.520816514767,188,1675,-281,1708.7802667399924
356,-4534,720,6612,8049.47824396091,209,1961,-244,1987.1431755160474
357,-4816,564,6532,8135.04615844311,236,2249,-253,2275.457316672849
358,-5482,790,6502,8541.219350888958,234,2688,-278,2712.4498152039605
359,-4766,1106,6304,7979.875186993841,451,3288,-397,3342.447306989296
360,-5298,596,6618,8498.34948681213,548,3565,-236,3614.585038424189
361,-5378,558,6656,8575.347456517433,461,3837,-213,3870.4597918076865
362,-5818,760,6490,8749.104182714937,400,4547,-195,4568.723454095247
363,-4446,796,6450,7874.200403850539,24,5031,-170,5033.9285851112345
364,-11664,-24,6314,13263.335477925602,-164,6536,368,6548.405607474235
365,-6436,330,8148,10388.498447802744,-386,7325,257,7339.664161254245
366,-1606,-124,5386,5621.708637060446,-526,8612,13,8628.058240415396
367,-7976,2600,9096,12373.915790888508,-690,9475,-460,9511.221004687042
368,-7112,2154,8320,11155.387039453179,-361,10924,-977,10973.542089954364
369,-2992,-244,8784,9282.793545048818,35,11696,-1216,11759.094225321951
370,-5840,574,8152,10044.410385881294,48,13154,-485,13163.025678011874
371,-2858,3304,8824,9846.195001115912,377,16376,67,16380.476000409755
372,-13766,4094,9018,16958.417261053582,1565,17457,-95,17527.267299838844
373,-14998,3712,6638,16816.122977666404,2163,17686,-414,17822.585699050516
374,-18672,3990,13684,23490.75435144644,3336,17669,-1073,18013.155914497605
