timestep,a_x,a_y,a_z,a_mag,g_x,g_y,g_z,g_mag
0,-4066,566,6954,8075.322160756189,53,394,-98,409.4496306018605
1,-4128,586,6950,8104.70727417098,42,410,-88,421.4356415871823
2,-3984,562,6918,8002.9259649205815,45,415,-91,427.2364684808637
3,-4006,414,7164,8218.41395890959,100,521,-93,538.6000371333073
4,-3988,206,7074,8123.303268991009,172,584,-160,629.4759725358864
5,-3644,748,6814,7763.300586735,146,753,-49,768.5870152429068
6,-4334,314,7356,8543.587536860614,217,954,-24,978.6628632986948
7,-4348,730,6930,8213.580461650083,311,1024,-52,1071.448085536579
8,-4182,796,7390,8528.47231337477,341,1179,-172,1239.3167472442226
9,-4142,1064,6918,8133.079613528936,341,1285,-447,1402.6100669822672
10,-4024,1416,7584,8701.418734896051,377,1390,-699,1600.8841307227704
11,-3918,1572,7408,8526.451313412868,126,1561,-1143,1938.8259333937124
12,-3808,636,7950,8837.865126827859,201,1472,-1428,2060.6719777781227
13,-3664,586,7784,8623.163456643972,271,1383,-1827,2307.3922510054504
14,-2330,1960,9076,9573.101691719356,144,1096,-1890,2189.532370164917
15,-1526,2538,9450,9903.162121262078,-204,624,-1868,1980.0040403999178
16,-102,2946,9848,10279.709334412137,-454,483,-1722,1845.1799370251128
17,-1370,2818,10790,11235.75204425587,-303,378,-1169,1265.4066540049487
18,-1366,3242,10774,11333.825303047512,-54,108,-792,801.1516710336438
19,-288,3618,10192,10818.952444668568,-58,-380,-425,573.05235362923
20,602,3862,9814,10563.713551587813,-186,-526,-292,629.7110448451733
21,504,3582,10214,10835.614241933863,-352,-737,-125,826.2554084543108
22,400,3214,10330,10825.834656043848,-324,-938,5,992.3935711198455
23,278,2836,10342,10727.40154930354,-30,-1299,310,1335.8147326631788
24,24,2490,10342,10637.557990441228,257,-1584,557,1698.6329797810943
25,-144,2562,10032,10354.97967163625,588,-1953,920,2237.4881005270167
26,-120,2702,9538,9914.063142828978,622,-2090,1121,2451.8615376892717
27,-246,2210,9302,9564.090129228183,476,-2209,1397,2656.664450019987
28,-886,2398,9308,9652.68169992153,380,-2190,1467,2663.191506444852
29,-1556,2228,9496,9877.202842910538,394,-2260,1610,2802.6658737708995
30,-2110,2266,9214,9720.321599617988,410,-2359,1669,2918.6541418948564
31,-1988,2330,8710,9232.829685421475,376,-2415,1726,2992.1024380859694
32,-1798,2404,8034,8576.548023534877,316,-2348,1724,2930.040272760769
33,-1922,2440,7848,8440.307340375704,319,-2125,1729,2758.047679065756
34,-3228,2310,8662,9528.185976354576,459,-2053,1749,2735.7797791488997
35,-3962,2716,9046,10242.275918954732,617,-2230,1862,2969.955050164901
36,-3620,3264,8740,10007.28214851565,567,-2387,1905,3106.168540179364
37,-3070,3310,8154,9320.338835042425,329,-2412,1947,3117.177248730011
38,-2692,3264,7890,8952.80179608596,158,-2318,1988,3057.8149061053387
39,-2894,3046,8112,9135.529322376457,29,-2194,2071,3017.2036722766993
40,-3352,2774,8436,9491.947956030943,68,-2178,2133,3049.261713923552
41,-3344,2654,8402,9424.418072220693,161,-2258,2204,3159.4463122515626
42,-2848,2444,7956,8796.713931917986,190,-2283,2220,3190.076644847268
43,-2480,2362,7564,8303.224674787501,207,-2158,2184,3077.282729942116
44,-2142,2020,7364,7930.766671640265,214,-2022,2117,2935.297088882146
45,-2420,1846,7714,8292.762627737515,375,-1844,2052,2784.181208183117
46,-3480,1862,8620,9480.6035672841,505,-1877,1987,2779.6264137469984
47,-3520,2000,8792,9679.34212640508,567,-2125,1875,2890.1105515187483
48,-2680,2204,8190,8894.724054179535,507,-2231,1759,2885.9125073362848
49,-1918,1996,7746,8225.767806107828,454,-2193,1619,2763.426496218056
50,-1488,1684,7610,7934.866098429135,539,-2075,1576,2660.812281992098
51,-1820,1578,8018,8372.025322465288,742,-1960,1573,2620.399397038551
52,-1960,1652,8190,8581.771611969174,858,-1983,1555,2662.0439515530165
53,-1904,1610,8224,8593.689079784072,852,-2050,1464,2659.2668162484188
54,-1742,1364,8088,8385.153785113305,824,-2081,1360,2618.995418094503
55,-1396,1016,7680,7871.688001947232,813,-2124,1219,2580.369353406601
56,-1372,732,7546,7704.5651402269295,862,-2108,1085,2522.683690041223
57,-1608,488,7648,7830.434981531997,1049,-2081,883,2492.117774102981
58,-2378,256,8028,8376.706035190682,1228,-2190,724,2613.0939516213343
59,-2656,332,7844,8288.117759781167,1488,-2470,474,2922.279931834047
60,-2704,248,7484,7961.367721692046,1546,-2644,288,3076.3283309815943
61,-2438,42,6600,7036.022171653525,1609,-2759,-21,3193.963525151782
62,-2566,-194,6108,6627.945081245016,1684,-2775,-238,3254.708128235157
63,-3308,-312,6208,7041.269203772854,1932,-2765,-528,3414.1811609813562
64,-4252,-240,5790,7187.57288658696,2120,-2849,-694,3618.4025480866553
65,-4324,-202,5118,6703.111516303455,2348,-2964,-904,3887.8806566045723
66,-4194,-92,3804,5662.907027313799,2454,-2889,-1003,3921.0261412033456
67,-4472,200,3054,5419.0128252293325,2450,-2497,-1144,3680.5223814018573
68,-5166,918,2118,5658.286313010327,2292,-2168,-1253,3394.627667359117
69,-5812,1308,1616,6172.654534315038,1903,-1598,-1249,2781.1893139446656
70,-7116,1902,1172,7458.461235402379,1626,-1237,-1100,2320.35449877815
71,-7332,2100,514,7644.1101509593655,1149,-626,-680,1474.6107961085868
72,-7190,2600,-386,7655.396527940274,754,-46,-254,796.9617305743104
73,-8210,2958,-646,8750.49598594274,-16,988,354,1049.6266002726877
74,-10010,2494,-34,10316.069600385605,-479,1565,785,1815.1834618021398
75,-10846,2606,316,11159.15803275498,-1004,2308,1538,2949.631163382974
76,-10666,2376,524,10939.995795245994,-1333,2803,2005,3695.094450754946
77,-10026,2324,1558,10409.083341005586,-1879,3622,2670,4876.312643791413
78,11932,2576,16390,20436.254549207395,-2457,4472,2612,5732.205247546533
79,19114,17872,24848,36085.68253476716,-3330,4764,1779,6078.604856379464
80,4062,-5450,-2030,7093.887791613283,-5245,5923,-1232,8006.858185330872
81,-684,-14678,2750,14949.04813023224,-5413,6825,-2741,9132.046594274472
82,-7422,-14836,15342,22595.794830012066,-2830,7394,-1417,8042.886608674774
83,-8738,-11514,10516,17874.873314236385,-643,7075,-1642,7291.449650103879
84,-10380,-2970,13726,17463.343780616586,91,6933,-1744,7149.566840026045
85,-10272,5894,10624,15909.827026086741,186,5721,-990,5809.004820104731
86,-7938,3676,9766,13111.047860487737,-142,5196,-452,5217.5553662611
87,-6560,864,10136,12104.486440985425,-264,4507,-99,4515.810669193295
88,-8412,2500,8048,11907.226713219161,-639,4553,-842,4674.087504529627
89,-14012,6298,7718,17192.104932206526,-1713,3247,-468,3700.865034015696
90,-4774,-106,9470,10605.810294362236,-1740,2651,-601,3227.476103707044
91,-4882,-334,6856,8423.195118243433,-1908,1828,-762,2750.0349088693397
92,-3598,1966,8422,9367.00827372326,-1901,1709,-913,2714.415406675994
93,-4020,1276,7638,8725.114325898543,-2001,1585,-886,2702.0773490039105
94,-1650,1460,7490,7807.317080790302,-1946,1582,-1041,2715.3859762472075
95,-4118,704,7598,8670.821414375918,-1780,1689,-1111,2693.59276803306
96,-5552,-2334,7228,9408.30718035928,-1316,1365,-1062,2173.229164170222
97,-3064,-252,7690,8281.769134671651,-854,1195,-685,1620.6683806380624
98,-3966,-498,7728,8700.525501370592,-494,1336,-582,1538.7189476964272
99,-3470,394,8406,9102.580513239089,-270,1535,-354,1598.2618684058004
100,-4330,1916,9674,10770.618923720214,-27,1644,-185,1654.5966275802691
101,-4712,1422,7168,8695.128061161606,-151,1562,-233,1586.4847934978766
102,-4046,1666,7440,8631.296078805315,-70,1373,-247,1396.7956185498292
103,-3806,1688,6228,7491.526146253512,-140,1035,-251,1074.162929913335
104,-3810,274,7192,8143.466092518592,-172,985,-357,1061.7240696150766
105,-4196,506,6772,7982.6334000754405,-38,1086,-280,1122.1586340620474
106,-4944,230,6946,8528.947883531708,63,1115,-185,1131.9977915172803
107,-4634,706,6806,8264.020087100467,141,1060,-99,1073.909679628599
108,-4194,822,6996,8198.130030683827,152,1122,-88,1135.6636826103052
109,-4650,742,7020,8453.015083388886,167,1171,-88,1186.1171948842155
110,-3790,702,7126,8101.652917769312,212,1211,-84,1232.2828409095048
111,-4444,934,7146,8466.806245568632,286,1432,-108,1464.2691009510513
112,-4806,836,6660,8255.430455161015,278,1379,-141,1413.7913566011075
113,-4714,684,6642,8173.482489122981,262,1302,-120,1333.5096550081669
114,-4380,548,6462,7825.736259292157,215,1250,-66,1270.0712578434332
115,-4630,730,6398,7931.217056669172,240,1216,-73,1241.605815063702
116,-4826,732,6502,8130.32004290114,207,1195,-74,1215.0514392403309
117,-5004,704,6518,8247.421172706048,199,1116,-27,1133.9250416143034
118,-4530,752,6600,8040.298750668409,207,1061,-27,1081.341296723657
119,-4752,1070,6422,8060.303220102827,182,1049,-41,1065.460463837115
120,-4638,1178,6234,7858.847498202264,132,1034,-104,1047.5667043200638
